time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
1.07,338.20357,495.53337,381.67975,-4.5968785,5.5101199,-4.7611284,7.751224,-32.754898,21.08354,56.800034,109.08894,537.64735,128.02741,558.37557,1104.4358,673.22615,512.76446,190.28217,307.5578,695.17506
1.08,338.46007,495.43082,381.66359,-4.5639396,5.5013075,-4.7853222,7.6658688,-32.746716,21.067104,56.846748,109.0638,537.76059,128.07564,558.41641,1104.4454,673.21545,512.76516,190.3182,307.56304,695.20092
1.09,338.70316,495.30913,381.66126,-4.5017934,5.4864297,-4.8118877,7.5750914,-32.738174,21.086128,56.876278,109.11382,537.80509,128.01452,558.43696,1104.4233,673.24062,512.76333,190.37054,307.59579,695.21455
1.1,338.97547,495.20616,381.68476,-4.4829922,5.4814115,-4.8177886,7.5300574,-32.772701,21.055801,56.925125,109.10896,537.87147,127.99839,558.46499,1104.4365,673.21928,512.75891,190.42503,307.59096,695.23556
1.11,339.21015,495.11498,381.67558,-4.452178,5.474638,-4.8334069,7.4606924,-32.771988,21.019718,56.95298,109.11856,537.91823,127.9609,558.45975,1104.4382,673.22766,512.76964,190.50646,307.57211,695.26083
1.12,339.47262,495.04126,381.66487,-4.4131136,5.4716454,-4.8526525,7.4262571,-32.845467,21.038193,57.011578,109.11486,537.97058,127.9501,558.45504,1104.4362,673.22931,512.75867,190.58849,307.63053,695.27766
1.13,339.71945,494.95847,381.65606,-4.4596882,5.4739914,-4.8721943,7.4468417,-32.845795,21.05357,57.045799,109.1196,538.01701,127.93588,558.4389,1104.4323,673.23645,512.77176,190.64506,307.64641,695.31639
1.14,339.95083,494.879,381.66544,-4.4653935,5.4749484,-4.8597417,7.417716,-32.860706,21.0313,57.07198,109.06356,538.06329,127.89218,558.42658,1104.4189,673.22822,512.75934,190.70137,307.67916,695.32799
1.15,340.1937,494.78784,381.63732,-4.5036201,5.4702072,-4.8664093,7.4296765,-32.86742,21.003437,57.095253,109.09556,538.15267,127.91869,558.42005,1104.4468,673.22275,512.76649,190.78399,307.72113,695.34621
1.16,340.43413,494.69757,381.64112,-4.5211325,5.4582291,-4.883801,7.4204378,-32.863071,21.021811,57.117931,109.09901,538.19459,127.89557,558.4093,1104.4367,673.2159,512.7669,190.84157,307.75547,695.38591
1.17,340.66431,494.60853,381.6503,-4.5852547,5.4382777,-4.9051805,7.4664588,-32.838188,21.016144,57.136864,109.08139,538.20127,127.87656,558.35243,1104.4379,673.22353,512.77031,190.90941,307.78663,695.39241
1.18,340.87043,494.48485,381.66718,-4.5800142,5.4308171,-4.8929758,7.4432602,-32.853481,20.988724,57.138519,109.12428,538.2565,127.85701,558.36585,1104.4445,673.23054,512.77323,190.99174,307.82052,695.42225
1.19,341.0733,494.41444,381.64442,-4.613441,5.411675,-4.8805623,7.4227057,-32.858688,20.955647,57.184166,109.13736,538.31414,127.80295,558.40628,1104.4129,673.2139,512.74917,191.06668,307.85744,695.43909
